bootstrap_id,unweighted_mae_difference,weighted_mae_difference
1332,-1.6703,-1.3543
1333,-1.4543,-1.891
1334,-2.0945,-2.0079
1335,-1.5422,-1.631
1336,-1.4945,-1.9155
1337,-1.5675,-2.0383
1338,-1.1798,-0.7827
1339,-1.6623,-1.2714
1340,-1.4569,-1.2047
1341,-1.899,-1.652
1342,-1.1288,-1.6415
1343,-1.9308,-2.0352
1344,-1.9188,-1.2588
1345,-1.4393,-1.8102
1346,-2.35,-2.3259
1347,-1.6834,-1.476
1348,-1.2768,-1.8675
1349,-1.1103,-1.3743
1350,-1.6978,-1.5684
1351,-2.0189,-1.4596
1352,-1.0549,-1.1428
1353,-1.4946,-1.6126
1354,-2.7628,-3.1015
1355,-0.9526,-1.2545
1356,-2.1795,-2.2716
1357,-1.921,-1.8346
1358,-2.4457,-2.4377
1359,-2.5359,-2.6113
1360,-1.2036,-1.25
1361,-0.7919,-0.7349
1362,-2.52,-2.4498
1363,-1.6679,-1.1729
1364,-2.2239,-1.9539
1365,-1.5869,-2.0049
1366,-1.52,-1.4961
1367,-1.1494,-1.0595
1368,-1.8595,-2.0088
1369,-1.6955,-1.5438
1370,-1.2604,-1.1828
1371,-1.55,-1.1712
1372,-1.2027,-0.8123
1373,-1.2193,-1.455
1374,-1.4964,-1.8273
1375,-1.3457,-1.0718
1376,-1.2277,-0.83
1377,-2.0456,-1.9644
1378,-1.9362,-1.5553
1379,-1.2212,-1.2182
1380,-1.8477,-2.0567
1381,-1.3642,-1.2133
1382,-1.4337,-1.7387
1383,-1.1665,-1.0017
1384,-0.6225,-1.1031
1385,-1.4351,-1.5794
1386,-1.6729,-2.1557
1387,-1.4239,-1.1498
1388,-1.5202,-1.6151
1389,-0.5067,-0.0587
1390,-1.9104,-1.7018
1391,-2.4368,-2.6415
1392,-0.7816,-0.8583
1393,-1.3224,-1.2938
1394,-1.1668,-1.256
1395,-2.0707,-1.7012
1396,-2.0243,-2.0537
1397,-1.4559,-1.1894
1398,-1.2764,-0.727
1399,-0.8964,-1.0453
1400,-1.1885,-0.7891
1401,-2.0666,-2.1931
1402,-1.1398,-1.0461
1403,-2.4846,-2.5874
1404,-1.7017,-1.7757
1405,-1.9781,-2.1608
1406,-0.9118,-1.0004
1407,-1.5079,-1.5242
1408,-1.1343,-1.241
1409,-2.0893,-2.1022
1410,-2.2282,-2.8699
1411,-2.1493,-1.9078
1412,-1.7104,-1.5209
1413,-1.5109,-1.6703
1414,-1.1499,-1.2728
1415,-2.0767,-2.1186
1416,-1.09,-1.21
1417,-0.0818,-0.57
1418,-1.8693,-1.7983
1419,-1.4864,-1.1694
1420,-1.5819,-1.0748
1421,-1.4667,-1.5582
1422,-1.5281,-0.953
1423,-1.5694,-1.3132
1424,-1.6961,-1.7288
1425,-2.3419,-2.2039
1426,-2.0476,-1.9616
1427,-2.3566,-2.1033
1428,-1.9022,-1.6087
1429,-1.1572,-1.367
1430,-2.3247,-2.3451
1431,-0.4558,-0.1761
1432,-1.0894,-1.4314
1433,-2.8313,-2.9408
1434,-1.5051,-1.5004
1435,-2.3061,-2.387
1436,-0.8402,-0.864
1437,-1.9435,-1.8398
1438,-0.2126,-0.0098
1439,-1.8531,-1.8154
1440,-1.2645,-1.423
1441,-0.2397,-0.578
1442,-1.7599,-1.7003
1443,-2.6325,-2.1106
1444,-1.3152,-1.1765
1445,-1.0474,-1.3576
1446,-1.1859,-1.0493
1447,-0.8858,-0.7325
1448,-0.961,-1.0268
